"PULocationID","trips_sum","trip_distance_average"
1,15,0
3,154,5.32145454545455
4,1,0
5,1,27.06
6,1,9.17
7,8958,2.24059993221105
8,8,2.045
9,56,5.53303571428571
10,243,5.44508379888268
11,75,7.18112676056338
14,387,6.34525606469003
15,49,4.82351351351351
16,101,6.66164705882353
17,1199,3.00495154185022
18,405,4.15909090909091
19,68,8.23053571428571
20,259,4.3727027027027
21,178,6.53805882352941
22,214,5.89891089108911
23,22,1.67666666666667
24,942,2.29044181034483
25,3973,2.86237003058104
26,305,4.90262975778547
27,2,3.135
28,318,5.39896174863388
29,216,7.84310160427807
30,3,19.41
31,151,7.29339130434783
32,169,5.08225563909774
33,5660,3.51473383680236
34,67,2.78968253968254
35,514,4.93091286307054
36,463,4.9219621749409
37,452,4.3342270531401
38,65,8.232
39,490,6.06048117154812
40,1007,2.95731509625127
41,12485,2.0157934655776
42,7695,2.24543113101904
43,2220,2.37492005481955
45,1,15.32
46,22,9.85863636363636
47,341,3.25247663551402
49,1648,2.92850280723643
50,1,2.8
51,357,7.37888198757764
52,1922,2.54892819429778
53,98,5.73473684210526
54,76,4.38823529411765
55,655,9.02809187279152
56,558,3.31815068493151
57,31,3.60739130434783
58,31,3.78789473684211
59,9,3.858
60,327,4.12929487179487
61,1885,3.16561114269471
62,417,3.47990291262136
63,117,6.3670297029703
64,21,8.1152380952381
65,4428,3.03149768518519
66,4229,3.8484068450229
67,97,5.38655913978495
68,1,12.87
69,1018,3.81317232375979
70,316,3.97009132420091
71,466,4.75643258426966
72,412,4.58989898989899
73,65,4.57121951219512
74,17196,2.38909454061252
75,13773,2.35833949430726
76,784,5.85884615384615
77,227,5.94702325581395
78,425,4.43730496453901
80,1372,4.08111340206186
81,191,6.79573170731707
82,9999,2.40380832282472
83,1262,2.41988458367683
85,264,4.87657692307692
86,117,14.8309574468085
89,770,4.33758988015979
91,402,5.068
92,2131,4.31659614187928
93,803,8.47660777385159
94,181,4.47029197080292
95,6401,2.70128007699711
96,23,4.90894736842105
97,5473,2.65266183035714
98,75,6.82411764705882
100,1,19.6
101,46,9.73615384615385
102,125,4.46073394495413
106,431,3.33562347188264
107,1,12.46
108,181,6.99023952095808
109,1,1.64
111,16,3.31625
112,1060,3.56943137254902
115,38,12.665
116,3867,2.81310837861024
117,94,14.1405555555556
118,6,0.9
119,407,5.76277591973244
120,59,4.35259259259259
121,543,4.10213483146067
122,125,5.49595041322314
123,227,4.83383495145631
124,74,6.33612903225806
125,1,5.3
126,350,3.9312
127,816,3.94192307692308
128,48,4.14444444444444
129,5873,2.46534745914886
130,4121,3.86713284753363
131,168,5.38577586206897
132,145,2.18697674418605
133,155,5.38848920863309
134,1998,3.21280720917531
135,175,5.06496453900709
136,276,4.9294262295082
137,4,5.69
138,101,3.39268292682927
139,130,7.77808695652174
140,3,13.42
141,1,8.35
142,1,3.25
143,1,3.29
145,1873,3.06486878838638
146,976,2.3191871657754
147,346,4.09521052631579
149,162,4.81860759493671
150,113,7.81752293577982
151,1,2.3
152,2001,2.65007069059271
153,140,3.86484375
154,14,5.041
155,251,5.66996015936255
156,11,18.1966666666667
157,209,4.29503184713376
159,969,3.0723504867872
160,128,4.85177419354839
161,3,15.075
162,1,10.44
165,258,4.33826446280992
166,9231,2.44117824436006
167,636,3.32491803278689
168,901,3.15726375176305
169,417,4.73258785942492
170,4,11.7275
171,115,5.68237113402062
172,11,1.23666666666667
173,834,2.58418879056047
174,519,5.29214622641509
175,31,5.77814814814815
176,5,0
177,337,4.40240121580547
178,83,5.10722891566265
179,1227,2.68649871904355
180,48,5.56875
181,4021,2.71481537302185
182,913,4.06383219954649
183,109,6.61640449438202
184,6,3.75833333333333
185,309,3.62081339712919
186,1,6.34
187,1,14.21
188,949,3.58557097118463
189,493,2.85987368421053
190,206,3.2149504950495
191,186,6.57797202797203
192,477,6.01218085106383
193,716,1.8829221732746
194,62,6.30911111111111
195,482,5.14252
196,1842,3.06874574347333
197,457,9.16028277634961
198,147,4.99834645669291
200,113,7.11712871287129
201,22,6.31111111111111
202,26,5.34923076923077
203,73,8.69465753424658
204,1,15.51
205,339,6.37137931034483
206,114,4.28384615384615
207,29,0.6092
208,249,5.35511811023622
210,872,3.82448877805486
212,620,3.75002659574468
213,623,6.11188118811881
214,1,19.21
215,312,5.98796875
216,330,5.87626666666667
217,114,3.93309090909091
218,158,6.44345070422535
219,74,7.24275862068966
220,317,4.95365313653136
221,3,14.0733333333333
222,203,6.92231958762887
223,2733,2.32310305775764
224,2,0
225,819,4.03203679369251
226,1676,3.28609848484848
227,131,6.25133858267717
228,338,4.51354037267081
229,3,10.595
230,2,6.04
232,1,6.5
235,369,5.08247311827957
236,534,2.28019230769231
238,2,13.995
239,1,2.13
240,41,4.65111111111111
241,314,4.28675324675325
242,988,3.75885196374622
243,1652,3.87609756097561
244,6487,3.93265390584584
247,1144,3.79681628392484
248,607,4.5038961038961
250,493,4.84682403433476
251,5,6.98
252,82,8.08658536585366
253,61,9.76787878787879
254,384,6.23856687898089
255,2587,3.466984
256,969,3.53848223896663
257,160,3.56809210526316
258,152,6.95416666666667
259,131,6.95936936936937
260,4713,2.38880505887484
261,2,12.06
262,7,10.1083333333333
263,140,2.79265625
264,871,0.419779735682819
265,243,11.2183898305085
